"keys","en"
,
"lbl_channel","Channel:"
"rbtn_stable","Stable"
"rbtn_experimental","Experimental"
"cbtn_bn_rolling","BN-Experimental (non nightly)"
"lbl_changelog","[right][color=#3b93f7][url]View Experimental Changelog[/url][/color][/right]"
"lbl_builds","Available builds:"
"btn_refresh","Refresh"
"btn_install","Install Selected"
"btn_update","Update to Selected"
"cb_update_active","Update current active install"
"lbl_active_install","Active install:"
"btn_play","Play"
"btn_resume","Resume Last World"
"ph_wiki_search","Search term"
"btn_wiki_open","Open/Search Wiki"
"btn_update_launcher", "Update Dabdoob"
"lbl_installs","Installed versions:"
"lbl_currently_installed","Currently installed:"
"lbl_none","None"
"btn_activate","Make active"
"btn_delete","Delete"
,
"tooltip_game","Choose which game to manage or play."
"tooltip_changelog","Click to load a summary of latest changes from GitHub."
"tooltip_stable","Stable release channel (DDA only)."
"tooltip_experimental","Experimental release channel."
"tooltip_bn_rolling","Use the latest rolling experimental build\n(from cataclysmbn/Cataclysm-BN). Only visible for BN experimental."
"tooltip_builds","Choose which release of the game to install or update to."
"tooltip_refresh","Re-retrieve the list of available game releases\nfrom GitHub (only for experimental releases)."
"tooltip_install","Install selected game release (Different forks\n are managed separately and can co-exist)."
"tooltip_update","If checked, the game install currently set as active\nwill be replaced with the version selected above.\nOtherwise, the selected build will be a new,\nseparate install of the game."
"tooltip_game_dir","Open game installation directory (contains\ngame executable and built-in game content)."
"tooltip_user_dir","Open user data directory (contains saves, \ngame configuration, user mods, sound, etc.)"
"tooltip_play","Launch the game."
"tooltip_resume","Skip main menu and quick-load last played world.\n(First character will always be loaded if there are multiple.)"
"tooltip_wiki","Open the wiki for this game fork (currently available for TLG)."
"tooltip_search_wiki","Search the TLG wiki for the entered term (only available for TLG)."
"tooltip_activate","Set the selected game install as active (i.e. in use).\n""Active"" install is the one that will be launched\nwhen you click Play/Resume, or updated when\nyou click Install."
"tooltip_delete","Delete the selected copy of the game.\n(Saves, settings and other user data\nare stored separately and will not be lost.)"
"tooltip_installs_item","Location:\n%s\n(double-click to open folder)"
,
"msg_set_active","Setting active install to %s."
"msg_glibc_version_warning","Warning: this game build requires GLIBC %s, which is newer than what your system provides. The game may fail to start."
"msg_glibc_upgrade_hint","To fix this, upgrade your Linux distribution or use a newer Ubuntu/Debian base. Experimental builds track the latest GLIBC."
"msg_crash_renderer_detected","Game crashed with a known display settings issue. Your userdata may contain an 'opengles' renderer setting that is incompatible with this version of CDDA."
"msg_crash_renderer_dialog_title","Reset Display Settings?"
"msg_crash_renderer_fix_offer","The game crashed due to an incompatible display settings file (config/options.json).\n\nThis is caused by an old 'opengles' renderer setting that is no longer supported in recent CDDA builds (after 2026-04-10).\n\nWould you like to delete config/options.json to reset your display settings?\nYour saves and other data will not be affected."
"btn_reset_display_settings","Reset Settings"
"msg_crash_renderer_options_deleted","Display settings reset. Relaunch the game to apply fresh defaults."
"msg_crash_renderer_options_delete_failed","Failed to delete config/options.json. Please delete it manually from your userdata/config folder."
