"keys","es"
,
"lbl_channel","Canal:"
"rbtn_stable","Estable"
"rbtn_experimental","Experimental"
"lbl_changelog","[right][color=#3b93f7][url]Ver lista de cambios experimentales[/url][/color][/right]"
"lbl_builds","Versiones:"
"btn_refresh","Refrescar"
"btn_install","Instalar seleccionado"
"btn_update","Actualizar a seleccionado"
"cb_update_active","Actualizar instalación activa actual"
"lbl_active_install","Instalación activa:"
"btn_play","Jugar"
"btn_resume","Continuar mundo"
"ph_wiki_search","Buscar..."
"btn_wiki_open","Abrir/Buscar en la Wiki"
"btn_update_launcher", "Actualizar Dabdoob"
"lbl_installs","Versiones instaladas:"
"lbl_currently_installed","Instalado actualmente:"
"lbl_none","Ninguno"
"btn_activate","Activar"
"btn_delete","Borrar"
,
"tooltip_game","Elige que juego configurar o jugar."
"tooltip_changelog","Haz clic para cargar un resumen con los últimos cambios de GitHub."
"tooltip_stable","Canal de lanzamientos estables (solo DDA)."
"tooltip_experimental","Canal de lanzamientos experimentales."
"tooltip_bn_rolling","Usar el ultimo lanzamiento experimental \n(de cataclysmbn/Cataclysm-BN). Solo visible para BN experimental."
"tooltip_builds","Elige que versión del juego instalar o actualizar."
"tooltip_refresh","Busca nuevamente la lista de lanzamientos disponibles\ndesde Github (solo para lanzamientos experimentales)."
"tooltip_install","Instalar el lanzamiento seleccionado (DDA y BN\nse configuran por separado y pueden co-existir)."
"tooltip_update","Si está marcada, la instalación del juego configurada actualmente como activa\nserá reemplazada por la versión seleccionada anteriormente.\nDe lo contrario, la compilación seleccionada será una instalación nueva\nseparada del juego."
"tooltip_game_dir","Abrir la carpeta de instalación del juego (contiene\nel juego ejecutable y contenido interno)."
"tooltip_user_dir","Abrir la carpeta de dato de usuario (contiene las partidas guardadas, \nconfiguración del juego, mods de usuario, sonido, etc)."
"tooltip_play","Iniciar el juego."
"tooltip_resume","Sáltate el menú principal y carga rápidamente el último mundo jugado.\n(Se cargará el primer personaje si existen varios)."
"tooltip_wiki","Abrir la wiki para esta ramificación del juego (actualmente disponible para TLG)."
"tooltip_search_wiki","Buscar en la wiki de TLG el término ingresado (solo disponible para TLG)."
"tooltip_activate","Establecer la instalación del juego seleccionada como activa.\nLa instalación ""activa"" es la que se iniciará\ncuando haga clic en Reproducir/Reanudar, o se actualizará cuando\nhaga clic en Instalar."
"tooltip_delete","Eliminar la copia seleccionada del juego.\n(Los datos guardados, la configuración y otros datos del usuario\nse almacenan por separado y no se perderán)."
"tooltip_installs_item","Ubicación:\n%s\n(doble clic para abrir la carpeta)"
,
"msg_set_active","Configurando instalación activa en %s"
"msg_glibc_version_warning","Warning: this game build requires GLIBC %s, which is newer than what your system provides. The game may fail to start."
"msg_glibc_upgrade_hint","To fix this, upgrade your Linux distribution or use a newer Ubuntu/Debian base. Experimental builds track the latest GLIBC."
"msg_crash_renderer_detected","Game crashed with a known display settings issue. Your userdata may contain an 'opengles' renderer setting that is incompatible with this version of CDDA."
"msg_crash_renderer_dialog_title","Reset Display Settings?"
"msg_crash_renderer_fix_offer","The game crashed due to an incompatible display settings file (config/options.json).\n\nThis is caused by an old 'opengles' renderer setting that is no longer supported in recent CDDA builds (after 2026-04-10).\n\nWould you like to delete config/options.json to reset your display settings?\nYour saves and other data will not be affected."
"btn_reset_display_settings","Reset Settings"
"msg_crash_renderer_options_deleted","Display settings reset. Relaunch the game to apply fresh defaults."
"msg_crash_renderer_options_delete_failed","Failed to delete config/options.json. Please delete it manually from your userdata/config folder."
