"keys","fr"
,
"lbl_channel","Canal:"
"rbtn_stable","Stable"
"rbtn_experimental","Expérimental"
"lbl_changelog","[right][color=#3b93f7][url]Voir les changements[/url][/color][/right]"
"lbl_builds","Versions disponibles:"
"btn_refresh","Actualiser"
"btn_install","Installer la version sélectionnée"
"btn_update","MÀJ vers la version sélectionnée"
"cb_update_active","Mettre à jour l'installation active actuelle"
"lbl_active_install","Installation active:"
"btn_play","Jouer"
"btn_resume","Charger le dernier monde"
"lbl_installs","Versions installées:"
"lbl_currently_installed","Version installée:"
"lbl_none","Aucune"
"btn_activate","Rendre actif"
"btn_delete","Supprimer"
,
"tooltip_game","Choisissez quel jeu à gérer ou à jouer."
"tooltip_changelog","Cliquez pour charger un résumé des derniers changements sur GitHub."
"tooltip_stable","Canal de distribution des versions stables (DDA seulement)."
"tooltip_experimental","Canal de distribution des versions expérimentales."
"tooltip_builds","Choisissez quelle version du jeu à installer ou mettre à jour."
"tooltip_refresh","Rafraîchir la liste des versions disponibles depuis GitHub\n (seulement pour les versions expérimentales)."
"tooltip_install","Installer la version du jeu sélectionnée\n(DDA et BN sont gérés indépendamment et peuvent co-exister)."
"tooltip_update","Si coché, l'installation du jeu actuellement définie comme active\nsera remplacée par la version sélectionnée ci-dessus.\nSinon, la version sélectionnée sera une nouvelle\ninstallation séparée du jeu."
"tooltip_game_dir","Ouvrir le répertoire d'installation du jeu (contient\nl'exécutable du jeu et le contenu du jeu intégré)."
"tooltip_user_dir","Ouvrir le répertoire des données utilisateur\n(contient les sauvegardes, la configuration du jeu,\nles mods utilisateur, le son, etc.)"
"tooltip_play","Lancer le jeu."
"tooltip_resume","Ignorer le menu principal et charger rapidement le dernier monde joué.\n(Le premier personnage sera toujours chargé s'il y en a plusieurs.)"
"tooltip_wiki","Ouvrir le wiki pour cette branche du jeu (actuellement disponible pour TLG)."
"tooltip_search_wiki","Rechercher dans le wiki TLG le terme saisi (uniquement disponible pour TLG)."
"tooltip_activate","Définir l'installation du jeu sélectionné comme active.\nL'installation ""active"" est celle qui sera lancée\nlorsque vous cliquez sur Lecture/Reprendre, ou mise à jour lorsque\nvous cliquez sur Installer."
"tooltip_delete","Supprimez la copie sélectionnée du jeu.\n(Les sauvegardes, les paramètres et les autres données\nutilisateur sont stockés séparément et ne seront pas perdus.)"
"tooltip_installs_item","Emplacement :\n%s\n(double-cliquez pour ouvrir le répertoire)"
,
"msg_set_active","Définition de l'installation active sur %s."
"msg_glibc_version_warning","Warning: this game build requires GLIBC %s, which is newer than what your system provides. The game may fail to start."
"msg_glibc_upgrade_hint","To fix this, upgrade your Linux distribution or use a newer Ubuntu/Debian base. Experimental builds track the latest GLIBC."
"msg_crash_renderer_detected","Game crashed with a known display settings issue. Your userdata may contain an 'opengles' renderer setting that is incompatible with this version of CDDA."
"msg_crash_renderer_dialog_title","Reset Display Settings?"
"msg_crash_renderer_fix_offer","The game crashed due to an incompatible display settings file (config/options.json).\n\nThis is caused by an old 'opengles' renderer setting that is no longer supported in recent CDDA builds (after 2026-04-10).\n\nWould you like to delete config/options.json to reset your display settings?\nYour saves and other data will not be affected."
"btn_reset_display_settings","Reset Settings"
"msg_crash_renderer_options_deleted","Display settings reset. Relaunch the game to apply fresh defaults."
"msg_crash_renderer_options_delete_failed","Failed to delete config/options.json. Please delete it manually from your userdata/config folder."
