"keys","ja"
,
"cbtn_debug_mode","デバッグモード"
"cbtn_enable_scale","スケールを有効にする"
"cbtn_keep_launcher_open","ゲーム開始後にランチャーを開いたままにする"
"cbtn_print_tips","起動時に今日のヒントを表示"
"cbtn_shorten_release_names","実験的リリース名を短縮"
"cbtn_always_show_installs","インストールリストを常に表示"
"cbtn_show_game_desc","ゲーム説明を表示"
"cbtn_show_obsolete_mods","インストール済みの古いMODをリストに表示"
"cbtn_check_for_launcher_updates","ランチャーの更新をチェック"
"cbtn_autoplay_soundpacks","サウンドパックを自動再生"
"cbtn_autoplay_music","音楽を自動再生"
"cbtn_compress_backups","バックアップを圧縮"
"cbtn_allow_corrupt_backups","破損したバックアップを許可"
"cbtn_always_use_default_soundpack_path","常にデフォルトのサウンドパックパスを使用"
"cbtn_always_use_default_tileset_path","常にデフォルトのタイルセットパスを使用"
"cbtn_always_use_default_font_path","常にデフォルトのフォントパスを使用"
"cbtn_always_use_default_backup_path","常にデフォルトのバックアップパスを使用"
"lbl_ui_scale","UIスケール："
"lbl_language","言語："
"lbl_launcher_language","ランチャー言語："
"lbl_launcher_theme","ランチャーテーマ："
"lbl_global_font","グローバルフォント："
"lbl_ui_theme","UIテーマ："
"lbl_global_font_size","グローバルフォントサイズ："
"lbl_global_font_bold","グローバルフォント太字："
"lbl_max_backups","最大バックアップ数："
"lbl_parallel_downloads","並列ダウンロード数："
"lbl_installation_timeout","インストールタイムアウト（秒）："
"lbl_download_timeout","ダウンロードタイムアウト（秒）："
"lbl_user_agent","ユーザーエージェント："
"lbl_proxy_url","プロキシURL："
"lbl_proxy_port","プロキシポート："
"lbl_discord_id","Discord ID："
"btn_data_dir","データディレクトリを開く"
"btn_config_dir","設定ディレクトリを開く"
"btn_install_dir","インストールディレクトリを開く"
"btn_backup_dir","バックアップディレクトリを開く"
"btn_browse_global_font","参照"
"btn_reset_global_font","リセット"
"btn_apply_settings","設定を適用"
"btn_reset_settings","設定をリセット" 
