"keys","pt"
,
"lbl_channel","Canal:"
"rbtn_stable","Estável"
"rbtn_experimental","Experimental"
"lbl_changelog","[right][color=#3b93f7][url]Ver Lista de Mudanças Experimentais[/url][/color][/right]"
"lbl_builds","Versões disponíveis:"
"btn_refresh","Atualizar"
"btn_install","Instalar Selecionada"
"btn_update","Atualizar Selecionada"
"cb_update_active","Atualizar a instalação atual ativa"
"lbl_active_install","Instalação ativa:"
"btn_play","Jogar"
"btn_resume","Continuar Mundo"
"lbl_installs","Versões instaladas:"
"lbl_currently_installed","Atualmente instalado:"
"lbl_none","Nenhum"
"btn_activate","Tornar ativo"
"btn_delete","Deletar"
,
"tooltip_game","Escolher qual jogo gerenciar ou jogar."
"tooltip_changelog","Clique para carregar um resumo das alterações mais recentes do GitHub."
"tooltip_stable","Canal de versões estáveis (somente DDA)."
"tooltip_experimental","Canal de versões esperimentais."
"tooltip_builds","Escolha a versão do jogo a ser instalada ou atualizada."
"tooltip_refresh","Buscar novamente a lista de lançamentos disponíveis\ndo GitHub (somente para versões experimentais)."
"tooltip_install","Instalar a versão selecionada do jogo (DDA e BN\nsão gerenciadas separadamente e podem coexistir)."
"tooltip_update","Se marcada, a instalação do jogo atualmente definida como ativa\nserá substituída pela versão selecionada acima.\nCaso contrário, a versão selecionada será uma nova,\ninstalação separada do jogo."
"tooltip_game_dir","Abrir a pasta de instalação do jogo (contém\no executável de jogo e seu conteúdo base)."
"tooltip_user_dir","Abrir a pasta de dados do usuário (contém jogos salvos), \nconfiguração do jogo, mods do usuário, sons, etc.)"
"tooltip_play","Iniciar o jogo."
"tooltip_resume","Pular o menu inicial e carregar o último mundo jogado.\n(O primeiro personagem será carregado se houver vários)."
"tooltip_wiki","Abrir o wiki para este fork do jogo (disponível atualmente para TLG)."
"tooltip_search_wiki","Pesquisar no wiki do TLG pelo termo inserido (disponível apenas para TLG)."
"tooltip_activate","Definir a instalação do jogo selecionado como ativa.\na instalação ativa é a que será iniciada\nquando você clicar em Jogar/Continuar, ou atualizada quando você clicar em Instalar."
"tooltip_delete","Exclui a cópia selecionada do jogo.\n(jogos salvos, configurações e outros dados\nsão armazenados separadamente e não serão perdidos.)"
"tooltip_installs_item","Local:\n%s\n(duplo-clique para abrir pasta)"
,
"msg_set_active","Configurando a instalação ativa para %s."
"msg_glibc_version_warning","Warning: this game build requires GLIBC %s, which is newer than what your system provides. The game may fail to start."
"msg_glibc_upgrade_hint","To fix this, upgrade your Linux distribution or use a newer Ubuntu/Debian base. Experimental builds track the latest GLIBC."
"msg_crash_renderer_detected","Game crashed with a known display settings issue. Your userdata may contain an 'opengles' renderer setting that is incompatible with this version of CDDA."
"msg_crash_renderer_dialog_title","Reset Display Settings?"
"msg_crash_renderer_fix_offer","The game crashed due to an incompatible display settings file (config/options.json).\n\nThis is caused by an old 'opengles' renderer setting that is no longer supported in recent CDDA builds (after 2026-04-10).\n\nWould you like to delete config/options.json to reset your display settings?\nYour saves and other data will not be affected."
"btn_reset_display_settings","Reset Settings"
"msg_crash_renderer_options_deleted","Display settings reset. Relaunch the game to apply fresh defaults."
"msg_crash_renderer_options_delete_failed","Failed to delete config/options.json. Please delete it manually from your userdata/config folder."
