"keys","ru"
,
"msg_backing_up_saves","Создаётся резервная копия текущих сохранений под именем \""%s\""..."
"msg_backup_created","Резервная копия создана."
"msg_backup_name_taken","Резервная копия с названием \""%s\"" уже существует."
"msg_restoring_backup","Восстановление резервной копии \""%s\""..."
"msg_backup_restored","Резервная копия восстановлена."
"msg_backup_not_found","Резервная копия \""%s\"" не найдена."
"msg_deleting_backup","Удаление резервной копии \""%s\""..."
"msg_backup_deleted","Резервная копия удалена."
"msg_deleting_multiple_backups","Удаление резервных копий: %s..."
"msg_multiple_backups_deleted","Удалено резервных копий: %s."
