"keys","ru"
,
"lbl_save_backups","Резервные копии папки с сохранениями:"
"btn_restore_backup","Восстановить"
"btn_delete_backup","Удалить"
"btn_refresh_backups","Обновить список"
"lbl_manual_backup","Ручная резервная копия"
"lbl_backup_name","Название:"
"btn_create_backup","Создать"
"lbl_backup_info_placeholder","Выберите существующую резервную копию, чтобы увидеть здесь информацию о ней."
"cbtn_backup_before_launch","Автоматически создавать резервную копию сохранений перед запуском игры"
"cbtn_backup_after_closing","Автоматически создавать резервную копию сохранений после закрытия игры"
,
"backup_info_location","Расположение:"
"backup_info_worlds","Миры:"
"backup_info_multiple_selected","Выбрано несколько резервных копий"
"backup_info_selected_count","Выбрано резервных копий: %s"
"and","и"
"more","больше"
