"keys","ru"
,
"lbl_channel","Ветка:"
"rbtn_stable","Стабильная"
"rbtn_experimental","Экспериментальная"
"cbtn_bn_rolling","BN — экспериментальная rolling-сборка"
"lbl_changelog","[right][color=#3b93f7][url]Изменения в экспериментальной ветке[/url][/color][/right]"
"lbl_builds","Доступные сборки:"
"btn_refresh","Обновить"
"btn_install","Установить выбранную"
"btn_update","Обновиться до выбранной"
"cb_update_active","Обновить текущую активную установку"
"lbl_active_install","Активная установка:"
"btn_play","Играть"
"btn_resume","Продолжить последний мир"
"ph_wiki_search","Поисковый запрос"
"btn_wiki_open","Открыть вики / найти"
"btn_update_launcher","Обновить Dabdoob"
"lbl_installs","Установленные версии:"
"lbl_currently_installed","Сейчас установлено:"
"lbl_none","Ничего"
"btn_activate","Сделать активной"
"btn_delete","Удалить"
,
"tooltip_game","Выберите игру для запуска или настройки."
"tooltip_changelog","Загрузить с GitHub список последних изменений в игре."
"tooltip_stable","Ветка со стабильными релизами (только для DDA)."
"tooltip_experimental","Ветка с экспериментальными релизами."
"tooltip_builds","Выбор версии игры для установки или обновления."
"tooltip_bn_rolling","Использовать последнюю экспериментальную сборку\n(из cataclysmbn/Cataclysm-BN). Видно только для экспериментальной ветки BN."
"tooltip_refresh","Заново загрузить список доступных релизов игры\nс GitHub (только для экспериментальных релизов)."
"tooltip_install","Установить выбранную версию игры (DDA и BN\nхранятся раздельно и могут устанавливаться одновременно)."
"tooltip_update","Если включено, текущая активная установка игры\nбудет заменена на версию, выбранную выше.\nЕсли выключено, выбранная сборка будет добавлена как\nновая, отдельная установка игры."
"tooltip_game_dir","Открыть установочную папку игры (содержит\nисполняемые файлы и стандартный игровой контент)."
"tooltip_user_dir","Открыть папку с пользовательскими данными (содержит сохранения,\nконфигурацию игры, пользовательские моды, звук и т.д.)"
"tooltip_play","Запустить игру."
"tooltip_resume","Пропустить главное меню игры и быстро загрузить последний мир.\n(Если в нём несколько персонажей, будет загружен первый по алфавиту.)"
"tooltip_wiki","Открыть вики для этого форка игры (сейчас доступно для TLG)."
"tooltip_search_wiki","Искать в вики TLG введённый термин (доступно только для TLG)."
"tooltip_activate","Назначить выбранную установку игры в качестве активной.\n""Активная"" установка будет запускаться при нажатии на\nИграть/Продолжить и обновляться при нажатии на кнопку установки."
"tooltip_delete","Удалить выбранную копию игры.\n(Сохранения, настройки и другие польз. данные\nхранятся отдельно и не будут потеряны.)"
"tooltip_installs_item","Расположение:\n%s\n(двойной щелчок, чтобы открыть папку)"
,
"msg_set_active","Активной установкой назначается %s."
"msg_glibc_version_warning","Предупреждение: для этой сборки игры требуется GLIBC %s, более новая, чем доступная в вашей системе. Игра может не запуститься."
"msg_glibc_upgrade_hint","Чтобы исправить это, обновите дистрибутив Linux или используйте более новую основу Ubuntu/Debian. Экспериментальные сборки используют самые свежие версии GLIBC."
"msg_crash_renderer_detected","Игра завершилась с ошибкой из-за известной проблемы с настройками дисплея. В пользовательских данных может находиться несовместимая с этой версией CDDA настройка рендера «opengles»."
"msg_crash_renderer_dialog_title","Сбросить настройки дисплея?"
"msg_crash_renderer_fix_offer","Игра завершилась с ошибкой из-за несовместимого файла настроек дисплея (config/options.json).\n\nПричина — старая настройка рендера «opengles», которая больше не поддерживается в последних сборках CDDA (после 2026-04-10).\n\nУдалить config/options.json и сбросить настройки дисплея?\nСохранения и другие данные не будут затронуты."
"btn_reset_display_settings","Сбросить настройки"
"msg_crash_renderer_options_deleted","Настройки дисплея сброшены. Перезапустите игру, чтобы применить исходные значения."
"msg_crash_renderer_options_delete_failed","Не удалось удалить config/options.json. Удалите его вручную из папки пользовательских данных config."
