"keys","ru"
,
"msg_no_sound_dir","Отсутствует директория со звуками игры: %s"
"msg_no_config_dir","Каталог конфигурации не существует."
"msg_could_not_create_config_dir","Не удалось создать каталог конфигурации."
"msg_could_not_write_options","Не удалось записать в файл опций игры."
"msg_deleting_sound","Удаляется %s"
"msg_soundpack_not_found","Не удалось найти звуковой пакет под названием \""%s\"""
"msg_installing_sound","Установка звукового пакета \""%s\""..."
"msg_reinstalling_sound","Переустановка звукового пакета \""%s\""..."
"msg_sound_download_failed","Не удалось скачать архив со звуковым пакетом."
"msg_sound_installed","Звуковой пакет установлен."
"msg_soundpack_activated","Звуковой пакет \""%s\"" установлен как активный."
