"keys","ru"
,
"lbl_installed_sound","Установленные:"
"lbl_avail_sound","Доступные для загрузки:"
"cbtn_stock_sound","Показать встроенные"
"btn_delete_sound","Удалить выбранный"
"btn_activate_sound","Активировать выбранный"
"btn_install_sound","Установить выбранный"
"btn_reinstall_sound","Переустановить выбранный"
,
"tooltip_stock_sound","Показать в этом списке встроенные звуковые пакеты из data/sound."
"tooltip_delete_sound","Удалить выбранный звуковой пакет из текущей установки игры."
"tooltip_activate_sound","Установить выбранный звуковой пакет как активный в игре."
"tooltip_install_sound","Загрузить выбранный звуковой пакет и добавить его в текущую установку игры."
,
"dlg_sound_deletion_title","Подтвердите удаление звукового пакета"
"dlg_sound_deletion_text","%s будет удалён."
"dlg_sound_manual_dl_title","Требуется ручное скачивание"
"dlg_sound_manual_dl_text","Этот звуковой пакет нельзя загрузить автоматически. Нажмите OK, чтобы скачать его в браузере, затем вернитесь сюда и укажите, куда вы сохранили файл."
,
"str_no_sound_desc","У этого пака нет описания."
